facility_id,zipcode,program_type,facility_name,total_capacity,under5_capacity,preschool_capacity,school_age_capacity,children_capacity,latitude,longitude,m1_max_expand,m1_unit_cost,m2_max_expand,m2_tier1_cap,m2_tier2_cap,m2_tier3_cap,m2_ucost_t1,m2_ucost_t2,m2_ucost_t3
781415,11211,GFDC,Mn'M Kiddie Group LLC,12,12,0,0,12,40.704553,-73.961388,14.399999999999999,1866.6666666666667,2.4000000000000004,1.2000000000000002,1.7999999999999998,2.4000000000000004,1866.6666666666667,2066.6666666666665,2666.6666666666665
789544,11218,GFDC,"Geshmake Kinder, Inc.",12,12,0,0,12,40.636363,-73.980547,14.399999999999999,1866.6666666666667,2.4000000000000004,1.2000000000000002,1.7999999999999998,2.4000000000000004,1866.6666666666667,2066.6666666666665,2666.6666666666665
791237,11211,SACC,Yeshiva Kehilath Yakov,284,0,0,284,0,40.707164,-73.959423,216.0,270.4225352112676,56.800000000000004,28.400000000000002,42.6,56.800000000000004,270.4225352112676,470.4225352112676,1070.4225352112676
818672,10038,SACC,"Grand Street Settlement, Inc.",100,0,0,100,0,40.71236,-73.998909,120.0,400.0,20.0,10.0,15.0,20.0,400.0,600.0,1200.0
825327,11104,SACC,The Q StudioLab LLC,100,0,0,100,0,40.743341,-73.922791,120.0,400.0,20.0,10.0,15.0,20.0,400.0,600.0,1200.0
826115,10019,SACC,"Hartley House, Inc.",62,0,0,62,0,40.763979,-73.985859,74.39999999999999,522.5806451612904,12.4,6.2,9.299999999999999,12.4,522.5806451612904,722.5806451612904,1322.5806451612902
831636,11205,SACC,"Grand Street Settlement, Inc. @ P. S. 157",101,0,0,101,0,40.695267,-73.959658,121.19999999999999,398.019801980198,20.200000000000003,10.100000000000001,15.149999999999999,20.200000000000003,398.019801980198,598.019801980198,1198.019801980198
875675,11236,SACC,After-School All-Stars,196,0,0,196,0,40.63544,-73.910885,235.2,302.0408163265306,39.2,19.6,29.4,39.2,302.0408163265306,502.0408163265306,1102.0408163265306
886656,10462,GFDC,"Huq, Mohammad",16,12,0,4,12,40.831951,-73.851559,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
888739,10474,SACC,City of New York Parks & Recreation,80,0,0,80,0,40.814984,-73.889068,96.0,450.0,16.0,8.0,12.0,16.0,450.0,650.0,1250.0
894399,11234,SACC,Roads to Success,100,0,0,100,0,40.628558,-73.928246,120.0,400.0,20.0,10.0,15.0,20.0,400.0,600.0,1200.0
911887,11385,GFDC,Montessori Playhouse Group Family Day Care,16,12,0,4,12,40.7036,-73.8961,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
794470,11434,FDC,"Kimpson, Debra",8,6,0,2,6,40.6775,-73.7758,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
568414,10463,GFDC,CATERPILLAR EARLY LEARNING DAYCARE INC.,16,12,0,4,12,40.877149,-73.909284,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
618944,11233,GFDC,Wee Bee Kidz Inc,16,12,0,4,12,40.684625,-73.924133,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
840230,11691,GFDC,Daycare by the Sea,16,12,0,4,12,40.595291,-73.761357,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
881862,11225,GFDC,"Jallow, Mariama",16,12,0,4,12,40.664341,-73.958775,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
53014,11208,FDC,"Burton, Sofia",8,6,0,2,6,40.670309,-73.865678,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
