zipcode,pop_0_5,pop_6_12,pop_0_12,avg_income,employment_rate,num_facilities,total_slots,under5_slots,num_candidate_sites,income_imputed,employment_imputed,is_high_demand,demand_ratio,min_total_slots,min_u5_slots,is_desert,u5_deficit,total_gap,u5_gap
10162,134,17,151,137335.52631578947,0.4990151017728168,0,0,0,100,False,False,False,0.3333333333333333,51,90,True,True,51,90
10280,318,293,611,134397.5903614458,0.4692977496324776,1,509,0,100,False,False,False,0.3333333333333333,204,212,False,True,0,212
10282,418,861,1279,152181.6037735849,0.3286821705426356,2,279,0,100,False,False,False,0.3333333333333333,427,279,True,True,148,279
10301,2780,3148,5928,66913.36230309615,0.4564726885026406,32,1905,278,100,False,False,False,0.3333333333333333,1977,1854,True,True,72,1576
10302,1338,1855,3193,57217.51412429378,0.4766521247374374,19,744,190,100,False,False,True,0.5,1597,892,True,True,853,702
10303,1262,2821,4083,52778.861154446175,0.4733596721190414,49,1609,486,100,False,False,True,0.5,2042,842,True,True,433,356
10304,2234,4396,6630,61216.41074856045,0.4645149786019971,42,2020,397,100,False,False,False,0.3333333333333333,2211,1490,True,True,191,1093
10305,1653,3386,5039,64277.19465648855,0.496553031200398,20,786,150,100,False,False,False,0.3333333333333333,1680,1102,True,True,894,952
10306,2606,4911,7517,73657.31115731115,0.5132309005548442,15,578,108,100,False,False,False,0.3333333333333333,2506,1738,True,True,1928,1630
10307,1098,1011,2109,86900.43604651163,0.4662826160623517,3,259,0,100,False,False,False,0.3333333333333333,704,732,True,True,445,732
10308,1106,2587,3693,81452.4647887324,0.4721529509559434,6,431,30,100,False,False,False,0.3333333333333333,1232,738,True,True,801,708
10309,1936,3172,5108,85576.92307692306,0.4602763385146804,5,297,9,100,False,False,False,0.3333333333333333,1703,1291,True,True,1406,1282
10310,2167,2408,4575,67453.42929720576,0.4500933724608407,25,1136,194,100,False,False,False,0.3333333333333333,1526,1445,True,True,390,1251
10312,3668,6076,9744,83484.34925864909,0.4781560663589242,16,1140,127,100,False,False,False,0.3333333333333333,3249,2446,True,True,2109,2319
10314,5269,8600,13869,74144.03778040141,0.448836839595146,22,1654,156,100,False,False,False,0.3333333333333333,4624,3513,True,True,2970,3357
10451,3494,5387,8881,40553.319919517104,0.4843016117401726,113,3287,1025,100,False,False,True,0.5,4441,2330,True,True,1154,1305
10452,5461,9309,14770,35306.24661979448,0.4703398453398453,287,6984,2895,100,False,False,True,0.5,7386,3641,True,True,402,746
10453,5476,9510,14986,34474.69021882415,0.4718542016545375,278,6841,2838,100,False,False,True,0.5,7494,3651,True,True,653,813
10454,2870,4718,7588,35661.76470588235,0.389063374966523,71,3163,595,100,False,False,True,0.5,3795,1914,True,True,632,1319
10455,2507,5634,8141,35785.48644338118,0.4238395673726904,111,3035,1002,100,False,False,True,0.5,4071,1672,True,True,1036,670
10456,6718,9594,16312,34503.467062902426,0.4558848433530906,237,6897,2340,100,False,False,True,0.5,8157,4479,True,True,1260,2139
10457,6785,9788,16573,34633.56973995271,0.4239698309883859,249,6559,2544,100,False,False,True,0.5,8287,4524,True,True,1728,1980
10458,5585,9406,14991,35868.3314415437,0.4262318875638017,226,4657,2395,100,False,False,True,0.5,7496,3724,True,True,2839,1329
10459,3973,5488,9461,36056.161891768985,0.4231775844815642,135,4018,1300,100,False,False,True,0.5,4731,2649,True,True,713,1349
10460,3983,6363,10346,36095.55804404629,0.4476040900888859,164,4794,1623,100,False,False,True,0.5,5174,2656,True,True,380,1033
10461,2750,4838,7588,57890.49919484702,0.4883227176220807,42,1462,414,100,False,False,True,0.5,3795,1834,True,True,2333,1420
10462,5581,7224,12805,49331.55080213904,0.508481160170918,115,3425,1168,100,False,False,True,0.5,6403,3721,True,True,2978,2553
10463,4453,5775,10228,65918.80341880342,0.4826732673267326,118,4249,1189,100,False,False,False,0.3333333333333333,3410,2969,False,True,0,1780
10464,75,424,499,84418.6046511628,0.5009319664492078,3,114,12,100,False,False,False,0.3333333333333333,167,50,True,True,53,38
10465,3268,3635,6903,67554.12890231621,0.4288398004793677,62,1888,648,100,False,False,False,0.3333333333333333,2302,2179,True,True,414,1531
10466,4393,7017,11410,47724.43890274314,0.4438725388457654,127,3192,1348,100,False,False,True,0.5,5706,2929,True,True,2514,1581
10467,6341,10057,16398,42034.178610804855,0.459412640685624,214,6220,2245,100,False,False,True,0.5,8200,4228,True,True,1980,1983
10468,6671,8366,15037,37413.79310344827,0.445348108652653,230,4292,2477,100,False,False,True,0.5,7519,4448,True,True,3227,1971
10469,4483,6076,10559,53108.54753793744,0.4493334446578164,94,2315,990,100,False,False,True,0.5,5280,2989,True,True,2965,1999
10470,1311,799,2110,58968.83289124668,0.4899285250162443,19,632,204,100,False,False,True,0.5,1056,874,True,True,424,670
10471,1015,1376,2391,91633.16582914571,0.4347256204124432,10,284,108,100,False,False,False,0.3333333333333333,798,677,True,True,514,569
10472,5321,6625,11946,37918.66028708134,0.4482024416770063,135,3577,1381,100,False,False,True,0.5,5974,3548,True,True,2397,2167
10473,3742,5518,9260,46564.818085482155,0.4711501655932231,90,3514,860,100,False,False,True,0.5,4631,2495,True,True,1117,1635
10474,1001,1525,2526,35229.54091816367,0.4441489361702128,21,1164,180,100,False,False,True,0.5,1264,668,True,True,100,488
10475,3115,3165,6280,56136.161705908475,0.5172691132201209,23,1808,162,100,False,False,True,0.5,3141,2077,True,True,1333,1915
11004,894,985,1879,76746.32352941176,0.4330658514838874,2,427,0,100,False,False,False,0.3333333333333333,627,596,True,True,200,596
11101,2111,1891,4002,91603.38785046728,0.7491467078969631,16,1616,84,100,False,False,True,0.5,2002,1408,True,True,386,1324
11102,1373,1303,2676,67476.42744892614,0.7052347704015663,17,1390,90,100,False,False,True,0.5,1339,916,False,True,0,826
11103,1502,1474,2976,63495.96570852244,0.570614640883978,9,524,82,100,False,False,False,0.3333333333333333,993,1002,True,True,469,920
11104,1769,1716,3485,66906.22861054073,0.5423363896209956,10,1229,46,100,False,False,False,0.3333333333333333,1162,1180,False,True,0,1134
11105,2103,2427,4530,68860.90814196243,0.494375064506141,8,830,70,100,False,False,False,0.3333333333333333,1511,1402,True,True,681,1332
11106,1948,2266,4214,66533.1940575673,0.5358475546047067,27,1535,186,100,False,False,False,0.3333333333333333,1405,1299,False,True,0,1113
11109,878,528,1406,133892.85714285713,0.4807692307692308,1,89,0,100,False,False,False,0.3333333333333333,469,586,True,True,380,586
11201,4950,4746,9696,117507.86388332857,0.5013260698157839,30,1957,208,100,False,False,False,0.3333333333333333,3233,3300,True,True,1276,3092
11203,4037,5899,9936,50698.51913942442,0.4558887218811301,78,3405,680,100,False,False,True,0.5,4969,2692,True,True,1564,2012
11204,7209,10156,17365,51748.09830310123,0.4242010549177785,50,3192,432,100,False,False,True,0.5,8683,4806,True,True,5491,4374
11205,4751,6381,11132,72222.22222222222,0.3720264711142908,20,918,136,100,False,False,False,0.3333333333333333,3711,3168,True,True,2793,3032
11206,7202,10032,17234,51560.84305408271,0.4193487420649479,57,3233,358,100,False,False,True,0.5,8618,4802,True,True,5385,4444
11207,6376,9346,15722,42837.47363487227,0.4408012313922377,153,6184,1346,100,False,False,True,0.5,7862,4251,True,True,1678,2905
11208,8276,11351,19627,40213.28593645857,0.4160658162322055,130,5054,1218,100,False,False,True,0.5,9814,5518,True,True,4760,4300
11209,4186,5498,9684,74627.30195849166,0.4763827772517128,20,1423,150,100,False,False,False,0.3333333333333333,3229,2791,True,True,1806,2641
11210,3475,6483,9958,61197.28128267689,0.4523381578532463,51,2014,456,100,False,False,False,0.3333333333333333,3320,2317,True,True,1306,1861
11211,4961,5224,10185,82047.45443117537,0.4857199554273328,29,2453,130,100,False,False,False,0.3333333333333333,3396,3308,True,True,943,3178
11212,5889,8210,14099,39632.59000537345,0.4430635906959027,107,5041,810,100,False,False,True,0.5,7050,3926,True,True,2009,3116
11213,4835,6559,11394,49651.68930686173,0.4152984912701971,41,2143,255,100,False,False,True,0.5,5698,3224,True,True,3555,2969
