zipcode,total_gap,u5_gap,status,total_cost,expansion_cost,u5_equip_expansion,build_cost,u5_equip_new,slots_from_expansion,u5_from_expansion,slots_from_new,u5_from_new,new_small,new_medium,new_large,chosen_locations
10012,302,391,OPTIMAL,270000.0,0.0,0.0,230000.0,40000.0,0.0,0.0,800.0,400.0,0,0,2,"[{'location_id': 1000, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.72418659806853, 'longitude': -74.00273062075861}, {'location_id': 1099, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.73177090034835, 'longitude': -73.99435199243268}]"
10013,581,821,OPTIMAL,548226.6055,6126.61,2100.0,460000.0,80000.0,21.0,21.0,1600.0,800.0,0,0,4,"[{'location_id': 1100, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.71677924991392, 'longitude': -73.99990763394587}, {'location_id': 1101, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.72407168528056, 'longitude': -73.99546884411433}, {'location_id': 1197, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.722897040555424, 'longitude': -73.99715278276058}, {'location_id': 1198, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.727517862207414, 'longitude': -73.99981817838207}]"
10014,0,401,OPTIMAL,227321.0526,72221.05,20100.0,115000.0,20000.0,201.0,201.0,400.0,200.0,0,0,1,"[{'location_id': 1299, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74012754080603, 'longitude': -73.99963929262599}]"
10016,432,1187,OPTIMAL,810000.0,0.0,0.0,690000.0,120000.0,0.0,0.0,2400.0,1200.0,0,0,6,"[{'location_id': 1300, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74421950054159, 'longitude': -73.96858307173369}, {'location_id': 1361, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.74865902413414, 'longitude': -73.97397256397305}, {'location_id': 1373, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75020070088607, 'longitude': -73.98071553344232}, {'location_id': 1375, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.740799442127354, 'longitude': -73.98128824800584}, {'location_id': 1378, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75256301146628, 'longitude': -73.97584328059543}, {'location_id': 1399, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75377528907256, 'longitude': -73.9791999662182}]"
10017,137,129,OPTIMAL,135000.0,0.0,0.0,115000.0,20000.0,0.0,0.0,400.0,200.0,0,0,1,"[{'location_id': 1475, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.759512620945976, 'longitude': -73.97456801196698}]"
10018,262,162,OPTIMAL,135000.0,0.0,0.0,115000.0,20000.0,0.0,0.0,400.0,200.0,0,0,1,"[{'location_id': 1577, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75883571443059, 'longitude': -73.9915959760567}]"
10019,434,685,OPTIMAL,472975.0,59475.0,8500.0,345000.0,60000.0,85.0,85.0,1200.0,600.0,0,0,3,"[{'location_id': 1600, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.7609528409948, 'longitude': -73.98446963451457}, {'location_id': 1698, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.757378945639815, 'longitude': -73.98573505211752}, {'location_id': 1699, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.76375797979312, 'longitude': -73.98928491128027}]"
10021,910,1192,OPTIMAL,810000.0,0.0,0.0,690000.0,120000.0,0.0,0.0,2400.0,1200.0,0,0,6,"[{'location_id': 1701, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.76856937218759, 'longitude': -73.95038905234678}, {'location_id': 1767, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.76335213028766, 'longitude': -73.966401448339}, {'location_id': 1769, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.76501204398266, 'longitude': -73.95245893328352}, {'location_id': 1771, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77738725488578, 'longitude': -73.96005297218434}, {'location_id': 1798, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75853922563817, 'longitude': -73.96216057818715}, {'location_id': 1799, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77526411139082, 'longitude': -73.95977103301445}]"
10022,883,807,OPTIMAL,610000.0,0.0,0.0,525000.0,85000.0,0.0,0.0,1700.0,850.0,1,0,4,"[{'location_id': 1868, 'size': 'small', 'total_slots': 100, 'under5_slots': 50, 'build_cost': 65000, 'latitude': 40.75941863229057, 'longitude': -73.95878458886322}, {'location_id': 1869, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.76324301253904, 'longitude': -73.97092552667108}, {'location_id': 1871, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75062806810465, 'longitude': -73.97514578501004}, {'location_id': 1872, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.75318723286971, 'longitude': -73.96528377220022}, {'location_id': 1899, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.7517129704641, 'longitude': -73.96470549775518}]"
10023,1262,2348,OPTIMAL,1571745.0,71945.0,14800.0,1265000.0,220000.0,148.0,148.0,4400.0,2200.0,0,0,11,"[{'location_id': 1900, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77459836082496, 'longitude': -73.97344975411414}, {'location_id': 1902, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78541197706469, 'longitude': -73.99086772298362}, {'location_id': 1903, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77183563982967, 'longitude': -73.98577211128634}, {'location_id': 1989, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.773794438155306, 'longitude': -73.97669186589289}, {'location_id': 1991, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77101807155508, 'longitude': -73.97631478968307}, {'location_id': 1992, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77481052322828, 'longitude': -73.97873906840175}, {'location_id': 1993, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.776127072327675, 'longitude': -73.97388270191165}, {'location_id': 1994, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.76776750481038, 'longitude': -73.98958406591184}, {'location_id': 1995, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.770291365236325, 'longitude': -73.98827998986681}, {'location_id': 1996, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77110855236721, 'longitude': -73.98964299590288}, {'location_id': 1997, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.780258351047, 'longitude': -73.98833688503464}]"
10024,1614,2709,OPTIMAL,1798700.0,32800.0,10900.0,1495000.0,260000.0,109.0,109.0,5200.0,2600.0,0,0,13,"[{'location_id': 2000, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78373560439104, 'longitude': -73.98044751640671}, {'location_id': 2003, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77863256599713, 'longitude': -73.98352637916092}, {'location_id': 2005, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.79332609873392, 'longitude': -73.97057432687099}, {'location_id': 2007, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78277756706422, 'longitude': -73.97455563450035}, {'location_id': 2009, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78659124057289, 'longitude': -73.96863933726934}, {'location_id': 2011, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77782444922284, 'longitude': -73.98287969576444}, {'location_id': 2012, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78041983167631, 'longitude': -73.97393703415095}, {'location_id': 2013, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.77856225503409, 'longitude': -73.98582010260037}, {'location_id': 2091, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78998364665407, 'longitude': -73.96950910904806}, {'location_id': 2092, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78825795524802, 'longitude': -73.97594030669441}, {'location_id': 2094, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.79556382742315, 'longitude': -73.98634750279832}, {'location_id': 2095, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.78608837372695, 'longitude': -73.97127315038516}, {'location_id': 2099, 'size': 'large', 'total_slots': 400, 'under5_slots': 200, 'build_cost': 115000, 'latitude': 40.791386737008374, 'longitude': -73.98622726816566}]"
