zipcode,location_id,size,latitude,longitude,cap_total,cap_u5,build_cost
10001,59,large,40.74538880584097,-73.99107040799531,400,200,115000
10001,99,large,40.74340796425707,-73.99703212929596,400,200,115000
10002,119,large,40.711057771300545,-73.9833989480507,400,200,115000
10002,156,large,40.72480971326938,-73.99577098278606,400,200,115000
10002,186,large,40.72398321818175,-73.98757375551953,400,200,115000
10003,200,large,40.73315760541562,-73.99899872608688,400,200,115000
10003,201,large,40.73081652391714,-73.98502459218118,400,200,115000
10003,297,large,40.72889787807572,-73.9879909882258,400,200,115000
10003,299,large,40.721689249346184,-73.99121555232684,400,200,115000
10004,399,large,40.72204566302471,-74.00069860101684,400,200,115000
10004,319,small,40.7060158920104,-74.01474622275953,100,50,65000
10005,463,large,40.698606995137425,-74.00713433151662,400,200,115000
10005,494,large,40.71557053155416,-74.01566848005268,400,200,115000
10006,599,small,40.71523094361238,-74.01793899523396,100,50,65000
10007,698,large,40.71832396225862,-74.0073978438571,400,200,115000
10007,699,large,40.716777280734455,-74.00696453738601,400,200,115000
10009,702,large,40.72827565807685,-73.98188344060516,400,200,115000
10009,704,large,40.73501900659756,-73.97808731854279,400,200,115000
10009,705,large,40.72848735023536,-73.98824288364592,400,200,115000
10009,769,large,40.723522351001485,-73.97174720393906,400,200,115000
10009,798,large,40.71996799045566,-73.98088317573723,400,200,115000
10010,800,large,40.74523366441694,-73.97468182404445,400,200,115000
10010,802,large,40.73968322528711,-73.97206849711401,400,200,115000
10010,871,large,40.731061317725114,-73.9718413276544,400,200,115000
10010,872,large,40.73426874839557,-73.97899153188074,400,200,115000
10010,899,large,40.74317673381684,-73.97700135202162,400,200,115000
10011,902,large,40.732045591953266,-73.99588974561908,400,200,115000
10011,903,large,40.74452047841767,-73.99235667465916,400,200,115000
10011,904,large,40.7403608867773,-74.00037811999394,400,200,115000
10012,1074,large,40.71713550356415,-73.99501017547101,400,200,115000
10012,1099,large,40.73177090034835,-73.99435199243268,400,200,115000
10013,1192,large,40.72283950145963,-74.00081034012472,400,200,115000
10013,1194,large,40.71008474051881,-74.01213653961447,400,200,115000
10013,1198,large,40.727517862207414,-73.99981817838207,400,200,115000
10013,1199,large,40.72005461882819,-74.00046264048095,400,200,115000
10014,1295,large,40.7427336621165,-74.01015642957411,400,200,115000
10016,1393,large,40.74726282942379,-73.98775314506386,400,200,115000
10016,1394,large,40.734645793054824,-73.97676207142399,400,200,115000
10016,1395,large,40.746965848847566,-73.98559156238169,400,200,115000
10016,1396,large,40.74650924304167,-73.9832929617916,400,200,115000
10016,1397,large,40.74103442684921,-73.9799233683923,400,200,115000
10016,1399,large,40.75377528907256,-73.9791999662182,400,200,115000
10017,1401,large,40.758061147930945,-73.96621542788883,400,200,115000
10018,1577,large,40.75883571443059,-73.9915959760567,400,200,115000
10019,1600,large,40.7609528409948,-73.98446963451457,400,200,115000
10019,1601,large,40.757848288528,-73.98880575630544,400,200,115000
10019,1602,large,40.756164327583235,-73.98821863712436,400,200,115000
10021,1762,large,40.77180186528191,-73.95658594639083,400,200,115000
10021,1764,large,40.76458838278539,-73.96169062945307,400,200,115000
10021,1768,large,40.76959016794607,-73.9650546694748,400,200,115000
10021,1783,large,40.77535542710691,-73.95765744388396,400,200,115000
10021,1798,large,40.75853922563817,-73.96216057818715,400,200,115000
10021,1799,large,40.77526411139082,-73.95977103301445,400,200,115000
10022,1866,large,40.755003874411585,-73.96673190110828,400,200,115000
10022,1869,large,40.76324301253904,-73.97092552667108,400,200,115000
10022,1873,large,40.7601063795722,-73.96814209534064,400,200,115000
10022,1899,large,40.7517129704641,-73.96470549775518,400,200,115000
10022,1863,small,40.75554012928983,-73.96282772254565,100,50,65000
10023,1984,large,40.766553658363904,-73.99061470531713,400,200,115000
10023,1985,large,40.780357279637336,-73.98373874285755,400,200,115000
10023,1986,large,40.78537277920029,-73.97448466864795,400,200,115000
10023,1987,large,40.77192915792802,-73.98514568139882,400,200,115000
10023,1989,large,40.773794438155306,-73.97669186589289,400,200,115000
10023,1990,large,40.784890082152046,-73.97923013870592,400,200,115000
10023,1991,large,40.77101807155508,-73.97631478968307,400,200,115000
10023,1992,large,40.77481052322828,-73.97873906840175,400,200,115000
10023,1993,large,40.776127072327675,-73.97388270191165,400,200,115000
10023,1994,large,40.76776750481038,-73.98958406591184,400,200,115000
10023,1997,large,40.780258351047,-73.98833688503464,400,200,115000
10024,2000,large,40.78373560439104,-73.98044751640671,400,200,115000
10024,2002,large,40.78104392092595,-73.97114145323957,400,200,115000
10024,2004,large,40.78197020601756,-73.9806394634133,400,200,115000
10024,2005,large,40.79332609873392,-73.97057432687099,400,200,115000
10024,2007,large,40.78277756706422,-73.97455563450035,400,200,115000
10024,2009,large,40.78659124057289,-73.96863933726934,400,200,115000
10024,2010,large,40.78939581713417,-73.97568899735916,400,200,115000
10024,2011,large,40.77782444922284,-73.98287969576444,400,200,115000
10024,2091,large,40.78998364665407,-73.96950910904806,400,200,115000
10024,2092,large,40.78825795524802,-73.97594030669441,400,200,115000
10024,2093,large,40.7785921802454,-73.98346919076893,400,200,115000
10024,2098,large,40.793975025021325,-73.96789687639856,400,200,115000
10024,2099,large,40.791386737008374,-73.98622726816566,400,200,115000
10025,2151,large,40.79173387283226,-73.96461453909691,400,200,115000
10025,2154,large,40.79091899108455,-73.97200481495199,400,200,115000
10025,2157,large,40.803035283365105,-73.97192772289462,400,200,115000
10025,2162,large,40.792288547880766,-73.97013145398874,400,200,115000
10025,2163,large,40.80192185103363,-73.95959399183226,400,200,115000
10025,2165,large,40.80493579170229,-73.96649665639367,400,200,115000
10025,2176,large,40.78851595279807,-73.96609113494745,400,200,115000
10025,2180,large,40.79735012178766,-73.97620524412118,400,200,115000
10025,2186,large,40.80628735389576,-73.96166081878906,400,200,115000
10025,2193,large,40.80220942936404,-73.97414080283855,400,200,115000
10025,2198,large,40.795007784379806,-73.97571060955096,400,200,115000
10025,2199,large,40.78780812891654,-73.97056515327824,400,200,115000
10026,2200,large,40.80675476934289,-73.94328896532342,400,200,115000
10026,2202,large,40.7988333368209,-73.96126137841604,400,200,115000
10026,2204,large,40.804371548244745,-73.96284461944975,400,200,115000
10026,2280,large,40.80624295252147,-73.96187500707798,400,200,115000
10026,2299,large,40.79708359780761,-73.95707801085342,400,200,115000
10027,2334,large,40.82133561525013,-73.95538085031822,400,200,115000
10027,2335,large,40.8066204507609,-73.96369216958576,400,200,115000
10027,2347,large,40.80741958875221,-73.94665796064666,400,200,115000
10027,2356,large,40.808573263091155,-73.95276903239065,400,200,115000
10027,2393,large,40.8192308519211,-73.9639036834638,400,200,115000
10027,2394,large,40.81921716029263,-73.96142078697359,400,200,115000
10027,2396,large,40.80825844807596,-73.9458298056097,400,200,115000
10027,2398,large,40.80565366308314,-73.95782018942603,400,200,115000
10028,2493,large,40.77599954216695,-73.95727048012394,400,200,115000
10028,2495,large,40.76746493392655,-73.9561585371916,400,200,115000
10028,2496,large,40.780101002755245,-73.95089861945392,400,200,115000
10028,2497,large,40.77496437200287,-73.9608153426827,400,200,115000
10028,2499,large,40.77597393228939,-73.95610898538098,400,200,115000
10028,2498,small,40.76909056102518,-73.94896954254565,100,50,65000
10029,2558,large,40.78646954885877,-73.9392330200057,400,200,115000
10029,2562,large,40.79896328537744,-73.93912065516453,400,200,115000
10029,2563,large,40.78852987616715,-73.93719568065953,400,200,115000
10029,2565,large,40.791317521253305,-73.95353075162686,400,200,115000
10029,2566,large,40.78481050139313,-73.95299173600944,400,200,115000
10029,2569,large,40.79497404807877,-73.93810584617968,400,200,115000
10029,2573,large,40.80120209048778,-73.94194460708269,400,200,115000
10029,2575,large,40.78211115753806,-73.95180575426436,400,200,115000
10029,2576,large,40.78917428888235,-73.93805550997173,400,200,115000
10029,2577,large,40.787886318127434,-73.95354256216503,400,200,115000
10030,2601,large,40.80877536264392,-73.94486428992506,400,200,115000
10030,2602,large,40.81784188803055,-73.94955281549045,400,200,115000
10030,2696,large,40.81000848585942,-73.95124034167898,400,200,115000
10030,2697,large,40.82794628424689,-73.9446128122791,400,200,115000
10030,2699,large,40.81147792876989,-73.95008896593897,400,200,115000
10031,2700,large,40.818853923052494,-73.9485932437754,400,200,115000
10031,2701,large,40.825530671747515,-73.95412823135426,400,200,115000
10031,2702,large,40.81548348479416,-73.95421943899775,400,200,115000
10031,2795,large,40.82782573114052,-73.95892390686986,400,200,115000
10031,2797,large,40.829810349544374,-73.95418965372805,400,200,115000
10032,2800,large,40.84126788557343,-73.9420791587939,400,200,115000
10032,2801,large,40.82875272643109,-73.94480702237962,400,200,115000
10033,2961,large,40.84999222872961,-73.93229772427345,400,200,115000
10033,2963,large,40.8401206044935,-73.9320659690686,400,200,115000
10033,2964,large,40.84608786995039,-73.92801271806074,400,200,115000
10033,2977,large,40.84396216671671,-73.94484382899356,400,200,115000
10033,2998,large,40.8450462039492,-73.92915813950118,400,200,115000
10034,3080,large,40.87478856728914,-73.9172091462483,400,200,115000
10034,3087,large,40.86980922469714,-73.91287946125281,400,200,115000
10034,3091,large,40.86176919190781,-73.9139110035445,400,200,115000
10035,3118,large,40.80830886160383,-73.9331855389805,400,200,115000
10035,3171,large,40.802604115888656,-73.9332890760739,400,200,115000
10035,3172,large,40.80039411341597,-73.93134461942952,400,200,115000
10035,3173,large,40.80374013625702,-73.93518259442048,400,200,115000
10035,3182,large,40.80670663011594,-73.92938650968736,400,200,115000
10035,3188,large,40.791122440787404,-73.93053888379337,400,200,115000
10036,3283,large,40.75300714398779,-73.99645109512635,400,200,115000
10036,3299,large,40.75082086280756,-73.99494904008425,400,200,115000
10037,3392,large,40.80877592885344,-73.93233334783153,400,200,115000
10037,3399,large,40.80941073985663,-73.93559194403947,400,200,115000
10037,3383,medium,40.81259246381257,-73.92924262080894,200,100,95000
10038,3400,large,40.712804787870894,-74.00106050150083,400,200,115000
10038,3499,large,40.71088289193185,-73.9945556294234,400,200,115000
10039,3501,large,40.83054670258912,-73.9441535178994,400,200,115000
10039,3502,large,40.81798559078954,-73.94097946749761,400,200,115000
10039,3503,large,40.82331270689444,-73.94588951793844,400,200,115000
10039,3599,large,40.819086140249475,-73.93234166718253,400,200,115000
10040,3696,large,40.858169910178844,-73.92275773478026,400,200,115000
10044,3701,large,40.75783932512573,-73.94192372576833,400,200,115000
10044,3797,large,40.76002816943679,-73.95023190994377,400,200,115000
10044,3799,large,40.7669612795671,-73.94185987996713,400,200,115000
10065,3884,large,40.76713759796277,-73.95455504615086,400,200,115000
10065,3885,large,40.76255269181022,-73.96118326032668,400,200,115000
10065,3888,large,40.76440212225799,-73.97271742305797,400,200,115000
10065,3890,large,40.774992366412306,-73.96461127082492,400,200,115000
10065,3891,large,40.767603832061695,-73.95676615142396,400,200,115000
10065,3894,large,40.765649793895456,-73.95608441476381,400,200,115000
10065,3899,large,40.76984582283468,-73.96929603126944,400,200,115000
10069,3926,large,40.77756775939002,-73.98515736861434,400,200,115000
10069,3940,large,40.7693184890739,-73.9900053831134,400,200,115000
10069,3917,small,40.77435509641021,-73.99814376995667,100,50,65000
10075,4062,large,40.7077504140692,-73.99994298619178,400,200,115000
10075,4063,large,40.718501860597954,-73.99788403180203,400,200,115000
10075,4098,large,40.72193763870268,-74.00348248911389,400,200,115000
10075,4099,large,40.711788724556584,-73.9963557567177,400,200,115000
10128,4100,large,40.77579903594584,-73.95156731914722,400,200,115000
10128,4189,large,40.787805167266114,-73.94250291174555,400,200,115000
10128,4190,large,40.779286017739985,-73.96086606220979,400,200,115000
10128,4191,large,40.78837034896663,-73.95443927807675,400,200,115000
10128,4192,large,40.789308392210906,-73.94689207207371,400,200,115000
10128,4193,large,40.78206782108197,-73.95098356303778,400,200,115000
10128,4194,large,40.79139410417733,-73.95700499925499,400,200,115000
10128,4195,large,40.779145685449166,-73.9517010127448,400,200,115000
10128,4198,large,40.77587661865898,-73.94841863510273,400,200,115000
10128,4165,small,40.772030958169815,-73.94643006507049,100,50,65000
10162,4246,medium,40.77470960468111,-73.94275807480189,200,100,95000
10280,4306,large,40.70414703726794,-74.01695982686483,400,200,115000
10282,4499,large,40.71413955264497,-74.0098205456485,400,200,115000
10282,4439,small,40.71294178795702,-74.0154664708304,100,50,65000
10301,4501,large,40.63638364526095,-74.09578817913398,400,200,115000
10301,4503,large,40.630622509726194,-74.09735779403441,400,200,115000
10301,4594,large,40.63086436034812,-74.09106877625125,400,200,115000
10301,4595,large,40.62941968134183,-74.08742014034583,400,200,115000
10301,4597,large,40.63800655968225,-74.09025281612502,400,200,115000
10301,4598,large,40.632222808781734,-74.0856419162354,400,200,115000
10301,4599,large,40.636284591089286,-74.08992005168511,400,200,115000
10302,4600,large,40.63576250832066,-74.13783362977273,400,200,115000
10302,4698,large,40.621543541182966,-74.13157891511509,400,200,115000
10302,4699,large,40.63157300480376,-74.13617228032795,400,200,115000
10303,4799,large,40.638374702929454,-74.15935468722199,400,200,115000
10304,4823,large,40.61378092710745,-74.07996930224381,400,200,115000
10304,4870,large,40.610329560069765,-74.08953309813485,400,200,115000
10304,4884,large,40.60931045317523,-74.09648581452808,400,200,115000
10304,4892,large,40.61140128632379,-74.0857059604121,400,200,115000
10304,4897,large,40.60243762782947,-74.09316557830465,400,200,115000
10305,4901,large,40.59739359392282,-74.07499335850544,400,200,115000
10305,4989,large,40.58894436396142,-74.07357056573039,400,200,115000
10305,4991,large,40.59970101471546,-74.0856389700058,400,200,115000
10305,4992,large,40.597399592441086,-74.06928569477171,400,200,115000
10305,4996,medium,40.58975935033784,-74.07294644585912,200,100,95000
10306,5005,large,40.572966384552366,-74.11521395203604,400,200,115000
10306,5011,large,40.5605824395485,-74.11545358294107,400,200,115000
10306,5012,large,40.55849904151503,-74.11368187104496,400,200,115000
10306,5054,large,40.564438257758475,-74.12699607971521,400,200,115000
10306,5055,large,40.56234567629568,-74.11327578261039,400,200,115000
10306,5057,large,40.55843493615954,-74.11777681820024,400,200,115000
10306,5072,large,40.56583963424102,-74.11541367685167,400,200,115000
10306,5073,large,40.56217542106111,-74.11506918527762,400,200,115000
10307,5100,large,40.50372124533433,-74.24520702972005,400,200,115000
10307,5154,large,40.512263935077975,-74.23867538602583,400,200,115000
10307,5169,large,40.50610870396887,-74.23543374941681,400,200,115000
10307,5163,medium,40.51241587175788,-74.24583098427509,200,100,95000
10308,5293,large,40.54512851504686,-74.15859455535752,400,200,115000
10308,5294,large,40.54619110915983,-74.1600342108111,400,200,115000
10308,5299,large,40.56070098373296,-74.16123115379582,400,200,115000
10308,5251,small,40.54515154569105,-74.14511912009807,100,50,65000
10309,5351,large,40.52876178124296,-74.20880626003519,400,200,115000
10309,5353,large,40.54422283731124,-74.22150597684649,400,200,115000
10309,5357,large,40.52980240943039,-74.20961902204299,400,200,115000
10309,5396,large,40.53760377751621,-74.2185879308759,400,200,115000
10309,5397,large,40.54085620512405,-74.21754880531698,400,200,115000
10309,5399,large,40.53654518257912,-74.21411112333622,400,200,115000
10309,5330,small,40.53915432984804,-74.21077012416217,100,50,65000
10310,5400,large,40.641242986307034,-74.11066700479938,400,200,115000
10310,5401,large,40.62462128866687,-74.12462681793687,400,200,115000
10310,5402,large,40.6417101420105,-74.10839922230306,400,200,115000
10310,5497,large,40.63476382202069,-74.11997801134675,400,200,115000
10310,5498,large,40.63316304871201,-74.11052376052153,400,200,115000
10310,5499,large,40.6294781280213,-74.11228444308793,400,200,115000
10312,5501,large,40.54374734912622,-74.18154515211239,400,200,115000
10312,5503,large,40.545898160906624,-74.18435803348378,400,200,115000
10312,5505,large,40.54937225926394,-74.17844781356047,400,200,115000
10312,5506,large,40.53943751148934,-74.18786190933255,400,200,115000
10312,5507,large,40.53846978054151,-74.18331931120507,400,200,115000
10312,5509,large,40.544597653187004,-74.18612333032426,400,200,115000
10312,5511,large,40.54308359160048,-74.18582855286532,400,200,115000
10312,5593,large,40.540442933239305,-74.18044132567341,400,200,115000
10312,5594,large,40.552681302051525,-74.17994426427114,400,200,115000
10312,5596,large,40.539116005970826,-74.18216420286223,400,200,115000
10312,5597,large,40.54001686983885,-74.17122568854923,400,200,115000
10314,5600,large,40.61287998579881,-74.15088616100581,400,200,115000
10314,5601,large,40.613496693939034,-74.15192684388632,400,200,115000
10314,5602,large,40.60905712999905,-74.14110415864126,400,200,115000
