zipcode,pop_0_5,pop_0_12,is_high_demand,total_slots,under5_slots,min_total_slots,min_u5_slots,total_gap,u5_gap,is_desert,u5_deficit,n_expanded,slots_from_expansion,expansion_cost,n_new_facilities,slots_from_new,u5_from_new,new_build_cost
10453,5476,14986,True,6841,2838,7494,3651,653,813,True,True,11.0,13.0,24266.666666666668,4,1600,800,540000
10454,2870,7588,True,3163,595,3795,1914,632,1319,True,True,0.0,0.0,0.0,7,2800,1400,945000
10455,2507,8141,True,3035,1002,4071,1672,1036,670,True,True,0.0,0.0,0.0,4,1400,700,510000
10456,6718,16312,True,6897,2340,8157,4479,1260,2139,True,True,0.0,0.0,0.0,11,4400,2200,1485000
10457,6785,16573,True,6559,2544,8287,4524,1728,1980,True,True,0.0,0.0,0.0,10,4000,2000,1350000
10458,5585,14991,True,4657,2395,7496,3724,2839,1329,True,True,2.0,39.0,11108.41121495327,7,2800,1400,945000
10459,3973,9461,True,4018,1300,4731,2649,713,1349,True,True,0.0,0.0,0.0,7,2800,1400,945000
10460,3983,10346,True,4794,1623,5174,2656,380,1033,True,True,28.0,34.9,61980.00000000001,5,2000,1000,675000
10461,2750,7588,True,1462,414,3795,1834,2333,1420,True,True,17.0,23.4666667,38026.666715,7,2800,1400,945000
10462,5581,12805,True,3425,1168,6403,3721,2978,2553,True,True,0.0,0.0,0.0,13,5200,2600,1755000
10463,4453,10228,False,4249,1189,3410,2969,0,1780,False,True,0.0,0.0,0.0,9,3600,1800,1215000
10464,75,499,False,114,12,167,50,53,38,True,True,0.0,0.0,0.0,1,100,50,70000
10465,3268,6903,False,1888,648,2302,2179,414,1531,True,True,0.0,0.0,0.0,8,3200,1600,1080000
10466,4393,11410,True,3192,1348,5706,2929,2514,1581,True,True,0.0,0.0,0.0,8,3200,1600,1080000
10467,6341,16398,True,6220,2245,8200,4228,1980,1983,True,True,0.0,0.0,0.0,10,4000,2000,1350000
10468,6671,15037,True,4292,2477,7519,4448,3227,1971,True,True,0.0,0.0,0.0,10,4000,2000,1350000
10469,4483,10559,True,2315,990,5280,2989,2965,1999,True,True,0.0,0.0,0.0,10,4000,2000,1350000
10470,1311,2110,True,632,204,1056,874,424,670,True,True,0.0,0.0,0.0,4,1400,700,510000
10471,1015,2391,False,284,108,798,677,514,569,True,True,0.0,0.0,0.0,3,1200,600,405000
10472,5321,11946,True,3577,1381,5974,3548,2397,2167,True,True,0.0,0.0,0.0,11,4400,2200,1485000
10473,3742,9260,True,3514,860,4631,2495,1117,1635,True,True,30.0,42.46666667,66826.6666715,8,3200,1600,1080000
10474,1001,2526,True,1164,180,1264,668,100,488,True,True,0.0,0.0,0.0,3,1000,500,375000
10475,3115,6280,True,1808,162,3141,2077,1333,1915,True,True,12.0,19.3,29000.0,10,3800,1900,1320000
11004,894,1879,False,427,0,627,596,200,596,True,True,0.0,0.0,0.0,3,1200,600,405000
11101,2111,4002,True,1616,84,2002,1408,386,1324,True,True,0.0,0.0,0.0,7,2800,1400,945000
11102,1373,2676,True,1390,90,1339,916,0,826,False,True,0.0,0.0,0.0,5,1700,850,610000
11103,1502,2976,False,524,82,993,1002,469,920,True,True,0.0,0.0,0.0,5,2000,1000,675000
11104,1769,3485,False,1229,46,1162,1180,0,1134,False,True,0.0,0.0,0.0,6,2400,1200,810000
11105,2103,4530,False,830,70,1511,1402,681,1332,True,True,0.0,0.0,0.0,7,2800,1400,945000
11106,1948,4214,False,1535,186,1405,1299,0,1113,False,True,11.0,17.3333333,25133.333285,6,2200,1100,780000
11109,878,1406,False,89,0,469,586,380,586,True,True,0.0,0.0,0.0,3,1200,600,405000
11201,4950,9696,False,1957,208,3233,3300,1276,3092,True,True,0.0,0.0,0.0,16,6200,3100,2130000
11203,4037,9936,True,3405,680,4969,2692,1564,2012,True,True,10.0,15.0,23000.0,10,4000,2000,1350000
11204,7209,17365,True,3192,432,8683,4806,5491,4374,True,True,0.0,0.0,0.0,22,8800,4400,2970000
11205,4751,11132,False,918,136,3711,3168,2793,3032,True,True,0.0,0.0,0.0,16,6100,3050,2095000
11206,7202,17234,True,3233,358,8618,4802,5385,4444,True,True,0.0,0.0,0.0,23,8900,4450,3040000
11207,6376,15722,True,6184,1346,7862,4251,1678,2905,True,True,5.0,6.06666667,9546.666671500001,15,5800,2900,1995000
11208,8276,19627,True,5054,1218,9814,5518,4760,4300,True,True,0.0,0.0,0.0,22,8600,4300,2940000
11209,4186,9684,False,1423,150,3229,2791,1806,2641,True,True,0.0,0.0,0.0,14,5300,2650,1825000
