facility_id,zipcode,current_slots,slots_added,expansion_pct,tier1_slots,tier2_slots,tier3_slots,expansion_cost
898972,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
913554,11361,16,1.6,10.0,1.6,0.0,0.0,2320.0
885179,11207,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
916185,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
885239,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
902998,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
911883,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
913227,11361,16,1.6,10.0,1.6,0.0,0.0,2320.0
897849,11239,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
887205,11358,16,1.6,10.0,1.6,0.0,0.0,2320.0
