zipcode,status,objective_value,expansion_cost,u5_expansion_equip,build_cost,u5_new_equip,expansion_slots,u5_expansion_slots,new_small,new_medium,new_large,new_total_slots,new_u5_slots,total_gap,u5_gap,is_high_demand,is_desert,pop_0_12,pop_0_5,current_total_slots,current_u5_slots,min_total_slots,min_u5_slots,req_total_gap,req_u5_gap
10038,OPTIMAL,206037.047,157637.05,48400.0,0.0,0.0,484.0,484.0,0,0,0,0.0,0.0,0,484,False,False,1991,772,802,31,664,515,0,484
10039,OPTIMAL,395081.3414,295081.34,100000.0,0.0,0.0,1000.0,1000.0,0,0,0,0.0,0.0,797,1000,True,True,4439,1898,1423,266,2220,1266,797,1000
10040,OPTIMAL,161910.1543,118410.15,43500.0,0.0,0.0,435.0,435.0,0,0,0,0.0,0.0,134,435,True,True,5454,1970,2594,879,2728,1314,134,435
10044,OPTIMAL,314600.0,138200.0,41400.0,115000.0,20000.0,414.0,414.0,0,0,1,400.0,200.0,79,614,False,True,1703,939,489,12,568,626,79,614
10065,OPTIMAL,876099.381,156399.38,44700.0,575000.0,100000.0,447.0,447.0,0,0,5,2000.0,1000.0,489,1447,False,True,4000,2230,845,40,1334,1487,489,1447
10069,OPTIMAL,340000.0,0.0,0.0,295000.0,45000.0,0.0,0.0,1,0,2,900.0,450.0,395,448,False,True,1231,690,16,12,411,460,395,448
10075,OPTIMAL,493189.3617,65289.36,22900.0,345000.0,60000.0,229.0,229.0,0,0,3,1200.0,600.0,580,829,False,True,2442,1243,235,0,815,829,580,829
10128,OPTIMAL,1190700.0,84600.0,26100.0,920000.0,160000.0,261.0,261.0,0,0,8,3200.0,1600.0,1525,1861,False,True,5477,2791,301,0,1826,1861,1525,1861
10162,OPTIMAL,105000.0,0.0,0.0,95000.0,10000.0,0.0,0.0,0,1,0,200.0,100.0,51,90,False,True,151,134,0,0,51,90,51,90
10280,OPTIMAL,205000.0,0.0,0.0,180000.0,25000.0,0.0,0.0,1,0,1,500.0,250.0,0,212,False,False,611,318,509,0,204,212,0,212
10282,OPTIMAL,155726.0223,62826.02,22900.0,65000.0,5000.0,229.0,229.0,1,0,0,100.0,50.0,148,279,False,True,1279,418,279,0,427,279,148,279
10301,OPTIMAL,706334.4957,433734.5,137600.0,115000.0,20000.0,1376.0,1376.0,0,0,1,400.0,200.0,72,1576,False,True,5928,2780,1905,278,1977,1854,72,1576
10302,OPTIMAL,344800.0,159600.0,50200.0,115000.0,20000.0,502.0,502.0,0,0,1,400.0,200.0,853,702,True,True,3193,1338,744,190,1597,892,853,702
10303,OPTIMAL,161981.8499,126381.85,35600.0,0.0,0.0,433.0,356.0,0,0,0,0.0,0.0,433,356,True,True,4083,1262,1609,486,2042,842,433,356
10304,OPTIMAL,453905.8758,344605.88,109300.0,0.0,0.0,1093.0,1093.0,0,0,0,0.0,0.0,191,1093,False,True,6630,2234,2020,397,2211,1490,191,1093
10305,OPTIMAL,528121.7391,202921.74,55200.0,230000.0,40000.0,552.0,552.0,0,0,2,800.0,400.0,894,952,False,True,5039,1653,786,150,1680,1102,894,952
10306,OPTIMAL,1012555.5556,159555.56,43000.0,690000.0,120000.0,430.0,430.0,0,0,6,2400.0,1200.0,1928,1630,False,True,7517,2606,578,108,2506,1738,1928,1630
10307,OPTIMAL,462682.1918,44482.19,13200.0,345000.0,60000.0,132.0,132.0,0,0,3,1200.0,600.0,445,732,False,True,2109,1098,259,0,704,732,445,732
10308,OPTIMAL,403844.4444,103044.44,30800.0,230000.0,40000.0,308.0,308.0,0,0,2,800.0,400.0,801,708,False,True,3693,1106,431,30,1232,738,801,708
10309,OPTIMAL,806200.0,103000.0,28200.0,575000.0,100000.0,282.0,282.0,0,0,5,2000.0,1000.0,1406,1282,False,True,5108,1936,297,9,1703,1291,1406,1282
10310,OPTIMAL,659982.7586,304882.76,85100.0,230000.0,40000.0,852.0,851.0,0,0,2,800.0,400.0,390,1251,False,True,4575,2167,1136,194,1526,1445,390,1251
10312,OPTIMAL,1390660.0,238760.0,71900.0,920000.0,160000.0,719.0,719.0,0,0,8,3200.0,1600.0,2109,2319,False,True,9744,3668,1140,127,3249,2446,2109,2319
